Geo Point;Geo Shape;insee;emp2006;emp2007;emp2008;emp2009;emp2010;emp2011;emp2012;emp2013;emp2014;emp2015;objectid_1;objectid;emp1999;emp1990;emp1982;emp1975;emp2016;emp2017
48.3994231468, 2.26372543263;"{""coordinates"": [[2.263725432633242, 48.399423146799656]], ""type"": ""MultiPoint""}";91508;43.004174;41.084458;40.828771;28.495851;28.212444;24.13;25.62;25.06658301;23.875169;25.7159902;922;922;36;33;36;20;25.1939264;23.62693328
48.5166544091, 2.05244415569;"{""coordinates"": [[2.052444155686981, 48.516654409081674]], ""type"": ""MultiPoint""}";91525;184.30488;175.675019;214.134934;224.597578;241.508421;233.8;237.55;223.70214387;223.990862;216.86145692;927;927;127;146;148;230;207.07902764;201.57332312
48.4407809008, 2.08761581995;"{""coordinates"": [[2.087615819945249, 48.44078090076491]], ""type"": ""MultiPoint""}";91556;40.53182;40.53421;32.721514;43.752165;42.012505;39.27;39.6;33.30360989;35.194164;39.22487412;939;939;42;38;24;25;34.9938702;35.3805894
48.5019263477, 2.1280269318;"{""coordinates"": [[2.12802693180126, 48.50192634765595]], ""type"": ""MultiPoint""}";91662;60.303904;59.06631;62.275278;83.323788;86.741115;93.8;98.72;94.76134269;82.931048;79.75369413;970;970;76;73;56;60;69.32475078;64.08488826
48.6780206244, 2.22301000648;"{""coordinates"": [[2.223010006479119, 48.67802062435572]], ""type"": ""MultiPoint""}";91666;856.487748;895.867192;961.483238;1112.875473;1159.232754;1170.44;1190.81;1237.73833728;1147.36928;1102.3994489;972;972;742;324;264;260;1137.7268666;1247.15293018
48.8363966715, 2.23906675231;"{""coordinates"": [[2.239066752306927, 48.836396671455105]], ""type"": ""MultiPoint""}";92012;76416.446711;77700.640733;78094.980091;78248.293079;79570.192339;80086.68;80824.94;81657.7976698;83760.278636;84737.29752;985;985;69123;68841;71524;78890;86124.8273677;87148.9822392
48.8951500762, 2.28688222328;"{""coordinates"": [[2.286882223282913, 48.89515007620268]], ""type"": ""MultiPoint""}";92044;57234.076422;56953.441748;56614.82968;56594.912786;56280.386983;56282.07;56132.33;55388.9919055;55398.195948;55446.9281246;999;999;50369;45814;43516;44930;55681.4543302;57443.1988373
48.8152359973, 2.31722181926;"{""coordinates"": [[2.317221819258302, 48.81523599730646]], ""type"": ""MultiPoint""}";92049;21276.208821;21158.161073;20800.719199;21030.983782;22218.135933;22816.51;23443.79;24576.7949121;24656.712707;24669.5467068;1003;1003;22241;27675;25980;28105;25356.2136355;27271.7088399
48.77648055, 2.29646410562;"{""coordinates"": [[2.296464105617652, 48.776480549978885]], ""type"": ""MultiPoint""}";92071;5747.731618;5744.08276;5796.519653;5800.705251;5829.60425;5973.45;5870.78;5738.78447144;5804.531873;5760.81586022;1010;1010;5403;5510;5044;4970;5510.15143897;5599.12408377
48.8420940499, 2.16064340914;"{""coordinates"": [[2.160643409135485, 48.84209404988589]], ""type"": ""MultiPoint""}";92076;2659.41282;2727.885439;2750.254367;2702.498178;2692.87267;2601.73;2552.74;2659.99184528;2731.400337;2708.78089268;1014;1014;2581;2876;2400;2315;2759.56532074;2726.32023786
48.9083360091, 2.50335441896;"{""coordinates"": [[2.503354418955917, 48.908336009107124]], ""type"": ""MultiPoint""}";93057;5360.907059;5439.126736;5431.93175;5442.132188;5440.384061;5531.47;5600.64;5776.66297444;5811.01353;5676.96514305;1042;1042;4850;5155;5072;5725;5605.86500068;5581.72138388
48.8749190981, 2.48590159168;"{""coordinates"": [[2.485901591676509, 48.87491909811819]], ""type"": ""MultiPoint""}";93064;15013.095123;15524.101629;15633.865282;15482.680715;15178.048682;15145.43;15094.51;14872.1711278;14968.201806;14809.8241091;1047;1047;14166;13760;11964;10015;14749.4034715;14558.9511445
48.9566408335, 2.38485667884;"{""coordinates"": [[2.38485667884489, 48.9566408335162]], ""type"": ""MultiPoint""}";93072;7663.900154;7614.053552;7747.4744;7699.723383;7943.545108;8185.36;8251.23;8357.02844563;8505.33351;8483.34642708;1051;1051;6805;7534;7792;8000;8572.74301091;8508.71876356
48.9324975401, 2.58161405506;"{""coordinates"": [[2.581614055058341, 48.9324975401075]], ""type"": ""MultiPoint""}";93074;2015.215342;1896.921759;1924.703642;1906.35266;1914.486156;1936.48;1991.3;2040.74777997;2015.840801;2183.20951176;1053;1053;1715;2279;2652;2655;2127.62686496;2113.445917
48.724660843, 2.42124983136;"{""coordinates"": [[2.421249831361976, 48.72466084298672]], ""type"": ""MultiPoint""}";94001;714.122464;628.268917;587.752746;547.579827;519.291335;527.9;537.85;562.34107645;589.482323;602.23443351;1057;1057;771;864;844;980;650.9421674;625.11145711
