Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
210;Métro;VAVIN;2572831;4;;;;;Paris;14
192;Métro;PORTE DE CHOISY;2853091;7;;;;;Paris;13
72;Métro;BALARD;5353471;8;;;;;Paris;15
81;Métro;PONT DE SEVRES;5185440;9;;;;;Boulogne Billancourt;
155;Métro;PORTE DE CHAMPERRET;3450481;3;;;;;Paris;17
45;Métro;GAMBETTA;7052652;3;3bis;;;;Paris;20
279;Métro;PONT NEUF;1545258;7;;;;;Paris;4
8;Métro;LES HALLES;16107112;4;;;;;Paris;1
298;Métro;DANUBE;595883;7bis;;;;;Paris;19
42;Métro;MAIRIE DE CLICHY;7107063;13;;;;;Clichy;
39;Métro;OLYMPIADES;7240711;14;;;;;Paris;13
146;Métro;CRETEIL-UNIVERSITE;3605792;8;;;;;Créteil;
35;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7428167;7;;;;;Aubervilliers;
74;Métro;DAUMESNIL;5313490;6;8;;;;Paris;12
48;Métro;MAIRIE DE MONTROUGE;6786852;4;;;;;Montrouge;
77;Métro;GABRIEL PERI;5264003;13;;;;;Asnières;
176;Métro;PLACE DES FETES;3083242;7bis;11;;;;Paris;19
1;RER;GARE DU NORD-RER;47465765;B;;;;;Paris;10
254;Métro;QUATRE-SEPTEMBRE;1981596;3;;;;;Paris;2
275;Métro;SULLY-MORLAND;1580307;7;;;;;Paris;4
253;Métro;MALAKOFF-RUE ETIENNE DOLET;1986235;13;;;;;Malakoff;
63;RER;COURCELLE-SUR-YVETTE;633858;B;;;;;Gif sur Yvette;
93;Métro;PERE LACHAISE;4837320;2;3;;;;Paris;20
113;Métro;ECOLE MILITAIRE;4285851;8;;;;;Paris;7
100;Métro;GUY MOQUET;4646625;13;;;;;Paris;17
250;Métro;RICHARD LENOIR;2006551;5;;;;;Paris;11
220;Métro;LE PELETIER;2413692;7;;;;;Paris;9
224;Métro;RANELAGH;2387545;9;;;;;Paris;16
32;RER;PORT ROYAL;3514722;B;;;;;Paris;5
55;RER;SAINT-REMY-LES-CHEVREUSE;1012303;B;;;;;St-Rémy-Lès-Chevreuse;
62;RER;SCEAUX;706053;B;;;;;sceaux;
195;Métro;PORTE DE LA CHAPELLE;2839635;12;;;;;Paris;18
167;Métro;CAMBRONNE;3191686;6;;;;;Paris;15
197;Métro;CORVISART;2816073;6;;;;;Paris;13
152;Métro;CHEVALERET;3522575;6;;;;;Paris;13
137;Métro;ANATOLE FRANCE;3765962;3;;;;;Levallois-Perret;
24;Métro;PORTE MAILLOT;8774568;1;;;;;Paris;16
101;Métro;DENFERT-ROCHEREAU;4536263;4;6;;;;Paris;14
111;Métro;PORTE DE CLICHY;4305225;13;;;;;Paris;17
145;Métro;SENTIER;3610996;3;;;;;Paris;3
276;Métro;SEGUR;1576059;10;;;;;Paris;15
57;RER;LE GUICHET;956271;B;;;;;Orsay;
62;Métro;MARCEL SEMBAT;5952749;9;;;;;Boulogne Billancourt;
76;Métro;PYRAMIDES;5281930;7;14;;;;Paris;1
94;Métro;PORTE DE VANVES;4768377;13;;;;;Paris;14
44;RER;BRY-SUR-MARNE;2235493;A;;;;;Bry-sur-Marne;
42;RER;CHATOU-CROISSY;2329986;A;;;;;Chatou;
29;RER;LAPLACE;3718673;B;;;;;Arcueil;
4;Métro;MONTPARNASSE-BIENVENUE;28953720;4;6;12;13;;Paris;14
16;Métro;OPERA;11022100;3;7;8;;;Paris;9
29;Métro;MARCADET-POISSONNIERS;7973129;4;12;;;;Paris;18
55;Métro;MIROMESNIL;6190720;9;13;;;;Paris;8
154;Métro;CENSIER-DAUBENTON;3496111;7;;;;;Paris;6
