Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
222;Métro;MAUBERT-MUTUALITE;2362705;10;;;;;Paris;5
180;Métro;PLACE MONGE;2995211;7;;;;;Paris;6
17;Métro;ESPLANADE DE LA DEFENSE;10280556;1;;;;;Puteaux;
4;Métro;MONTPARNASSE-BIENVENUE;31229210;4;6;12;13;;Paris;14
259;Métro;PHILIPPE AUGUSTE;1854806;2;;;;;Paris;11
101;Métro;GUY MOQUET;4577860;13;;;;;Paris;17
29;Métro;SAINT-MICHEL;8072295;4;;;;;Paris;5
22;Métro;BARBES-ROCHECHOUART;9174366;2;4;;;;Paris;18
151;Métro;SENTIER;3509454;3;;;;;Paris;3
36;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7131674;7;;;;;Aubervilliers;
23;Métro;PORTE MAILLOT;8976380;1;;;;;Paris;16
207;Métro;LIBERTE;2581261;8;;;;;Charenton;
68;Métro;MAIRIE DE MONTROUGE;5757464;4;;;;;Montrouge;
100;Métro;PEREIRE;4643622;3;;;;;Paris;17
240;Métro;SAINT-JACQUES;2112450;6;;;;;Paris;13
76;Métro;GABRIEL PERI;5235722;13;;;;;Asnières;
123;Métro;ARTS ET METIERS;3908721;3;11;;;;Paris;3
248;Métro;EXELMANS;2029772;9;;;;;Paris;16
205;Métro;CRETEIL-POINTE DU LAC;2595126;8;;;;;Créteil;
17;RER;MARNE-LA-VALLEE-CHESSY;5246229;A;;;;;Montévrain;
283;Métro;MIRABEAU;1371020;10;;;;;Paris;16
299;Métro;BOLIVAR;569990;7bis;;;;;Paris;19
18;RER;NEUILLY-PLAISANCE;5039115;A;;;;;Neuilly-sur-Seine;
5;Métro;GARE DE L'EST;20377794;4;5;7;;;Paris;10
57;RER;PALAISEAU-VILLEBON;885207;B;;;;;Palaiseau;
54;RER;PALAISEAU;985245;B;;;;;Palaiseau;
20;Métro;GARE D'AUSTERLITZ;9295236;5;10;;;;Paris;13
112;Métro;SAINT-GERMAIN DES PRES;4271760;4;;;;;Paris;6
246;Métro;BREGUET-SABIN;2065295;5;;;;;Paris;11
90;Métro;CHARLES MICHELS;4851393;10;;;;;Paris;15
131;Métro;ANATOLE FRANCE;3780611;3;;;;;Levallois-Perret;
251;Métro;JASMIN;2017822;9;;;;;Paris;16
105;Métro;LAUMIERE;4422042;5;;;;;Paris;19
162;Métro;FUNICULAIRE;3299668;2;;;;;Paris;18
294;Métro;FALGUIERE;875978;12;;;;;Paris;15
164;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3251160;8;;;;;Maisons -Alfort;
173;Métro;RUE DE LA POMPE;3080833;9;;;;;Paris;16
1;RER;GARE DU NORD-RER;47759711;B;;;;;Paris;10
171;Métro;CHEVALERET;3105942;6;;;;;Paris;13
201;Métro;NATIONALE;2666856;6;;;;;Paris;13
11;RER;CITE UNIVERSITAIRE;6662323;B;;;;;Paris;14
178;Métro;ETIENNE MARCEL;3033877;4;;;;;Paris;1
204;Métro;RUE DES BOULETS;2598900;9;;;;;Paris;11
21;RER;NOISY-CHAMPS;4433525;A;;;;;Champs-sur-Marne;
189;Métro;SAINT-AUGUSTIN;2921864;9;;;;;Paris;8
298;Métro;DANUBE;636385;7bis;;;;;Paris;19
35;RER;BUSSY-SAINT-GEORGES;2908666;A;;;;;Bussy-Saint-Georges;
253;Métro;MICHEL BIZOT;2015679;8;;;;;Paris;12
8;RER;CHARLES DE GAULLE-ETOILE-RER;8495803;A;;;;;Paris;17
194;Métro;JAVEL-ANDRE CITROEN;2813391;10;;;;;Paris;15
258;Métro;RICHARD LENOIR;1857473;5;;;;;Paris;11
15;RER;RUEIL-MALMAISON;5939819;A;;;;;Rueil-Malmaison;
199;Métro;MARAICHERS;2726569;9;;;;;Paris;20
19;RER;NANTERRE-UNIVERSITE;4674496;A;;;;;Nanterre;
128;Métro;PASSY;3826751;6;;;;;Paris;16
210;Métro;FRONT POPULAIRE;2561027;12;;;;;Saint Denis / Aubervilliers;
41;RER;BAGNEUX;2153810;B;;;;;Cachan;
197;Métro;SAINT-PHILIPPE-DU-ROULE;2775382;9;;;;;Paris;8
238;Métro;EDGAR QUINET;2165227;6;;;;;Paris;14
10;RER;NOISY-LE-GRAND-MONT D'EST;7375462;A;;;;;Noisy-le-Grand;
276;Métro;PONT MARIE;1623168;7;;;;;Paris;4
279;Métro;CHEMIN VERT;1472562;8;;;;;Paris;11
31;RER;PORT ROYAL;3361591;B;;;;;Paris;5
20;RER;DENFERT-ROCHEREAU-RER;4532274;B;;;;;Paris;14
22;RER;NATION-RER;4353821;A;;;;;Paris;12
59;RER;GIF-SUR-YVETTE;735448;B;;;;;Gif sur Yvette;
7;Métro;LES HALLES;17384446;4;;;;;Paris;1
30;RER;CHAMPIGNY;3385631;A;;;;;Saint-Maur des Fossés;
257;Métro;PORTE D'IVRY;1865805;7;;;;;Paris;13
34;Métro;GAMBETTA;7142788;3;3bis;;;;Paris;20
27;Métro;PORTE DE CLIGNANCOURT;8471130;4;;;;;Paris;18
48;RER;ROBINSON;2002299;B;;;;;Sceaux;
99;Métro;COLONEL FABIEN;4644115;2;;;;;Paris;10
47;Métro;LA CHAPELLE;6622224;2;;;;;Paris;9
65;RER;PARC DE SCEAUX;564320;B;;;;;Antony;
135;Métro;PORTE DE SAINT-OUEN;3739205;13;;;;;Paris;17
92;Métro;PERE LACHAISE;4824175;2;3;;;;Paris;20
91;Métro;PASTEUR;4849120;6;12;;;;Paris;9
193;Métro;NOTRE-DAME-DE-LORETTE;2853470;12;;;;;Paris;9
122;Métro;OBERKAMPF;3978333;5;9;;;;Paris;11
108;Métro;PORTE DE BAGNOLET;4390819;3;;;;;Paris;20
203;Métro;MALESHERBES;2604947;3;;;;;Paris;17
132;Métro;FORT D'AUBERVILLIERS;3766935;7;;;;;Aubervilliers;
291;Métro;ASSEMBLEE NATIONALE;1126803;12;;;;;Paris;7
215;Métro;RIQUET;2423268;7;;;;;Paris;19
32;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;7395270;7;9;;;;Paris;9
