stop_point_id;accessibility_level_id;accessibility_level_name;commentaire;stop_name;stop_point_geopoint
stop_point:IDFM:monomodalStopPlace:43203;3;train accessible sur réservation préalable auprès du service AssistenGare;;Saint-Ouen;48.90456082213364, 2.322694729473372
stop_point:IDFM:monomodalStopPlace:47599;1;gare ou arrêt non accessible;;Saint-Ouen-l'Aumône;49.04530690087292, 2.105230857870794
stop_point:IDFM:monomodalStopPlace:43191;3;train accessible sur réservation préalable auprès du service AssistenGare;;Sartrouville;48.93769529363442, 2.1572200388507317
stop_point:IDFM:monomodalStopPlace:43192;3;train accessible sur réservation préalable auprès du service AssistenGare;;Savigny-sur-Orge;48.67639468866699, 2.3523541804056833
stop_point:IDFM:monomodalStopPlace:411452;1;gare ou arrêt non accessible;;Sens;48.19822559869753, 3.2673805413803247
stop_point:IDFM:monomodalStopPlace:47951;1;gare ou arrêt non accessible;;Seugy;49.11912737513361, 2.3996583056293246
stop_point:IDFM:monomodalStopPlace:43195;3;train accessible sur réservation préalable auprès du service AssistenGare;;Sèvres Rive Gauche;48.82121360785643, 2.215079572125279
stop_point:IDFM:monomodalStopPlace:47118;1;gare ou arrêt non accessible;;Souppes - Château-Landon;48.18117871674994, 2.7358697259911766
stop_point:IDFM:monomodalStopPlace:47960;1;gare ou arrêt non accessible;;Thieux - Nantouillet;49.00813565335945, 2.6802537675802913
stop_point:IDFM:monomodalStopPlace:47961;1;gare ou arrêt non accessible;;Thomery;48.39428183783365, 2.764187149192088
stop_point:IDFM:monomodalStopPlace:46902;1;gare ou arrêt non accessible;;Thun le Paradis;49.006673442207415, 1.919170589720022
stop_point:IDFM:monomodalStopPlace:43207;4;train accessible sur demande auprès d'un agent en station;;Torcy;48.83971015133779, 2.655169106193295
stop_point:IDFM:monomodalStopPlace:411338;1;gare ou arrêt non accessible;;Trie-Château;49.2824007109848, 1.818497020989674
stop_point:IDFM:monomodalStopPlace:43212;3;train accessible sur réservation préalable auprès du service AssistenGare;;Val d'Argenteuil;48.95065749524003, 2.2326940500534516
stop_point:IDFM:monomodalStopPlace:43213;4;train accessible sur demande auprès d'un agent en station;;Val d'Europe;48.85484622851565, 2.7724268942340276
stop_point:IDFM:monomodalStopPlace:47963;1;gare ou arrêt non accessible;;Vaucelles;49.02172683988197, 2.2294526219892656
